11-BZK_005: 前往 天台    t=2729.1806539766385
10-H225: 前往 柯桥(集结地)    t=1724.516251634525


10-H225: JiuYuanMemberNeed 柯桥(集结地) 8   t=2084.516251634525


10-H225: 前往 宁海(安置点)    t=3716.3273315537863


10-H225: JiuYuanMemberNeed 宁海(安置点) 8   t=4076.3273315537863


10-H225: 前往 缙云    t=5986.473203781457


10-H225: ToTransZaiMin 缙云 19   t=6841.473203781457


10-H225: 前往 诸暨(安置点)    t=8377.87997385506


10-H225: ToTransZaiMin 诸暨(安置点) 19   t=9232.87997385506


10-H225: 前往 缙云    t=10769.286743928664


10-H225: ToTransZaiMin 缙云 19   t=11624.286743928664


10-H225: 前往 宁海(安置点)    t=13534.432616156335


10-H225: ToTransZaiMin 宁海(安置点) 19   t=14389.432616156335


10-H225: 返回基地 台州机场    t=15449.46396437313


10-H225: 基地保障 台州机场 20分钟   t=16649.463964373128


10-H225: 前往 柯桥(集结地)    t=19150.92163390628


10-H225: JiuYuanMemberNeed 柯桥(集结地) 19   t=20005.92163390628


10-H225: 前往 磐安    t=21487.816217722222


10-H225: JiuYuanMemberNeed 磐安 19   t=22342.816217722222


10-H225: 前往 东阳(水源)    t=22750.677540811805


10-H225: FireNum 东阳(水源) 4   t=23650.677540811805


10-H225: 前往 天台    t=24622.77507500371


10-H225: FireNum 天台 4   t=25522.77507500371


10-H225: 前往 东阳(水源)    t=26494.872609195612


10-H225: FireNum 东阳(水源) 4   t=27394.872609195612


10-H225: 前往 天台    t=28366.970143387516


10-H225: FireNum 天台 4   t=29266.970143387516


10-H225: 返回基地 义乌机场    t=30533.25804363133


10-H225: 基地保障 义乌机场 20分钟   t=31733.25804363133


10-H225: 返回基地 义乌机场    t=31733.25804363133


10-H225: 基地保障 义乌机场 20分钟   t=32933.25804363133


10-H225: 前往 东阳(水源)    t=33229.78057089457


10-H225: FireNum 东阳(水源) 4   t=34129.78057089457


10-H225: 前往 天台    t=35101.87810508647


10-H225: FireNum 天台 4   t=36001.87810508647


10-H225: 前往 东阳(水源)    t=36973.975639278375


10-H225: FireNum 东阳(水源) 4   t=37873.975639278375


10-H225: 前往 天台    t=38846.07317347028


10-H225: FireNum 天台 4   t=39746.07317347028


