9-MI171: 基地保障 台州机场 20分钟   t=11580.23381948888


9-MI171: 返回基地 台州机场    t=11580.23381948888


9-MI171: 基地保障 台州机场 20分钟   t=12780.23381948888


9-MI171: 返回基地 杭州机场    t=16209.028688463071


9-MI171: 基地保障 杭州机场 20分钟   t=17409.02868846307


9-MI171: 返回基地 台州机场    t=20837.82355743726


9-MI171: 基地保障 台州机场 20分钟   t=22037.82355743726


9-MI171: 返回基地 台州机场    t=22037.82355743726


9-MI171: 基地保障 台州机场 20分钟   t=23237.82355743726


9-MI171: 返回基地 台州机场    t=23237.82355743726


9-MI171: 基地保障 台州机场 20分钟   t=24437.82355743726


9-MI171: 返回基地 台州机场    t=24437.82355743726


9-MI171: 基地保障 台州机场 20分钟   t=25637.82355743726


9-MI171: 返回基地 义乌机场    t=28059.649133974002


9-MI171: 基地保障 义乌机场 20分钟   t=29259.649133974002


9-MI171: 返回基地 杭州机场    t=30838.85325545007


9-MI171: 基地保障 杭州机场 20分钟   t=32038.85325545007


1-M-26: 前往 缙云    t=3041.8558263901036


1-M-26: ToTransZaiMin 缙云 82   t=5501.855826390103


1-M-26: 前往 诸暨(安置点)    t=7164.790212822709


1-M-26: ToTransZaiMin 诸暨(安置点) 82   t=9624.790212822709


1-M-26: 返回基地 台州机场    t=12051.8205503323


1-M-26: 基地保障 台州机场 20分钟   t=13251.8205503323


1-M-26: 前往 温城(物资中心)    t=13540.05100822238


1-M-26: SheBeiNeed 温城(物资中心) 1   t=14740.05100822238


1-M-26: 前往 缙云    t=16575.059953917116


1-M-26: SheBeiNeed 缙云 1   t=17775.059953917116


1-M-26: 前往 柯桥(集结地)    t=20072.95297884619


1-M-26: JiuYuanMemberNeed 柯桥(集结地) 2   t=20132.95297884619


1-M-26: 前往 磐安    t=21736.885940152857


1-M-26: JiuYuanMemberNeed 磐安 2   t=21796.885940152857


1-M-26: 返回基地 台州机场    t=23346.70902337418


1-M-26: 基地保障 台州机场 20分钟   t=24546.70902337418


1-M-26: 前往 东阳(水源)    t=26514.210844002486


1-M-26: FireNum 东阳(水源) 15   t=27414.210844002486


1-M-26: 前往 天台    t=28466.363469245487


1-M-26: FireNum 天台 15   t=29366.363469245487


1-M-26: 前往 东阳(水源)    t=30418.51609448849


1-M-26: FireNum 东阳(水源) 15   t=31318.51609448849


1-M-26: 前往 天台    t=32370.66871973149


1-M-26: FireNum 天台 15   t=33270.66871973149


1-M-26: 返回基地 义乌机场    t=34641.239152936556


1-M-26: 基地保障 义乌机场 20分钟   t=35841.239152936556


1-M-26: 返回基地 杭州机场    t=37327.548914325795


1-M-26: 基地保障 杭州机场 20分钟   t=38527.548914325795


1-M-26: 前往 温城(物资中心)    t=41969.92648422362


1-M-26: SheBeiNeed 温城(物资中心) 1   t=43169.92648422362


1-M-26: 前往 缙云    t=45004.93542991836


1-M-26: SheBeiNeed 缙云 1   t=46204.93542991836


