

4-AC312: JiuYuanMemberNeed 柯桥(集结地) 12   t=18906.63272084737
4-AC312: 前往 磐安    t=20421.458295414777
4-AC312: JiuYuanMemberNeed 磐安 12   t=21141.458295414777
4-AC312: 前往 柯桥(集结地)    t=22656.283869982184
4-AC312: JiuYuanMemberNeed 柯桥(集结地) 12   t=23376.283869982184
4-AC312: 前往 磐安    t=24891.10944454959
4-AC312: JiuYuanMemberNeed 磐安 12   t=25611.10944454959


2-S76: 前往 温城(物资中心)    t=4463.2203729514695
2-S76: WuZiNeed 温城(物资中心) 2300   t=5843.2203729514695
2-S76: 前往 磐安    t=7425.260365958708
2-S76: WuZiNeed 磐安 2300   t=8805.260365958708
2-S76: 返回基地 台州机场    t=10274.423511763309
2-S76: 基地保障 台州机场 20分钟   t=11474.423511763309
2-S76: 前往 东阳(水源)    t=13339.527468120996
2-S76: FireNum 东阳(水源) 2   t=14239.527468120996
2-S76: 前往 天台    t=15236.921220674769
2-S76: FireNum 天台 2   t=16136.921220674769
2-S76: 前往 东阳(水源)    t=17134.314973228542
2-S76: FireNum 东阳(水源) 2   t=18034.314973228542
2-S76: 前往 天台    t=19031.708725782315
2-S76: FireNum 天台 2   t=19931.708725782315
2-S76: 返回基地 台州机场    t=20954.95228606408
2-S76: 基地保障 台州机场 20分钟   t=22154.95228606408
2-S76: 前往 东阳(水源)    t=24020.056242421768
2-S76: FireNum 东阳(水源) 2   t=24920.056242421768
2-S76: 前往 天台    t=25917.44999497554
2-S76: FireNum 天台 2   t=26817.44999497554


1-M-26: 前往 缙云    t=2287.5146524723837
1-M-26: ToTransZaiMin 缙云 82   t=4747.514652472384
1-M-26: 前往 诸暨(安置点)    t=6410.44903890499
1-M-26: ToTransZaiMin 诸暨(安置点) 82   t=8870.44903890499
1-M-26: 前往 东阳(水源)    t=9546.36228511237
1-M-26: FireNum 东阳(水源) 15   t=10446.36228511237
1-M-26: 前往 天台    t=11498.51491035537
1-M-26: FireNum 天台 15   t=12398.51491035537
1-M-26: 返回基地 杭州机场    t=14546.19432560114
1-M-26: 基地保障 杭州机场 20分钟   t=15746.19432560114
1-M-26: 前往 温城(物资中心)    t=19188.571895498964
1-M-26: SheBeiNeed 温城(物资中心) 1   t=20388.571895498964
1-M-26: 前往 缙云    t=22223.580841193703
1-M-26: SheBeiNeed 缙云 1   t=23423.580841193703
1-M-26: 前往 东阳(水源)    t=24422.483117325508
1-M-26: FireNum 东阳(水源) 15   t=25322.483117325508
1-M-26: 前往 天台    t=26374.63574256851
1-M-26: FireNum 天台 15   t=27274.63574256851
1-M-26: 返回基地 台州机场    t=28354.057380669667
1-M-26: 基地保障 台州机场 20分钟   t=29554.057380669667
1-M-26: 返回基地 台州机场    t=29554.057380669667
1-M-26: 基地保障 台州机场 20分钟   t=30754.057380669667
1-M-26: 前往 温城(物资中心)    t=31042.287838559743
1-M-26: SheBeiNeed 温城(物资中心) 1   t=32242.287838559743
1-M-26: 前往 缙云    t=34077.29678425448
1-M-26: SheBeiNeed 缙云 1   t=35277.29678425448


